playerID,homeAway,Name,Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,InitPlayerName,InitPlayerID,Away?
28228,Away,Mirza Teletovic,PF,Mirza Teletovic,3200,Mil@Bos 07:30PM ET,11.611,Mil,DeMarre Carroll,1631,@Mil
264,Away,Ian Mahinmi,C,Ian Mahinmi,3200,Was@LAC 10:30PM ET,14.761,Was,Jon Leuer,4000,@Was
45,Home,Brandan Wright,PF/C,Brandan Wright,3100,Ind@Mem 08:00PM ET,12.263,Mem,Monta Ellis,129,@Mem
37,Home,Jeff Green,SF/PF,Jeff Green,3100,OKC@Orl 07:00PM ET,16.196,Orl,Shabazz Muhammad,24245,@Orl
6968,Home,Justin Holiday,SG/SF,Justin Holiday,3100,Mia@NY 07:30PM ET,14.76,NY,Evan Turner,2325,@NY
1606,Home,Gerald Henderson,SG,Gerald Henderson,3100,Atl@Phi 07:00PM ET,16.605,Phi,Cory Joseph,7108,@Phi
24291,Home,Justin Anderson,SF/PF,Justin Anderson,3100,Atl@Phi 07:00PM ET,13.057,Phi,Channing Frye,84,@Phi
304,Away,Jason Terry,PG,Jason Terry,3000,Mil@Bos 07:30PM ET,10.012,Mil,Brandon Knight,2258,@Mil
43395,Home,Demetrius Jackson,PG,Demetrius Jackson,3000,Mil@Bos 07:30PM ET,4,Bos,Nik Stauskas,26608,@Bos
24644,Home,Terry Rozier,PG,Terry Rozier,3000,Mil@Bos 07:30PM ET,13.706,Bos,Nerlens Noel,24303,@Bos
24681,Home,James Young,SG,James Young,3000,Mil@Bos 07:30PM ET,4.86,Bos,E'Twaun Moore,2354,@Bos
42082,Away,Rashad Vaughn,SG,Rashad Vaughn,3000,Mil@Bos 07:30PM ET,6.921,Mil,Patty Mills,1632,@Mil
354,Home,Gerald Green,SF,Gerald Green,3000,Mil@Bos 07:30PM ET,9.839,Bos,Montrezl Harrell,24290,@Bos
1623,Home,Jonas Jerebko,PF,Jonas Jerebko,3000,Mil@Bos 07:30PM ET,10.668,Bos,Dahntay Jones,445,@Bos
