playerID,homeAway,First Name Last Name,Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,InitPlayerName,InitPlayerID,Away?
8226,Home,Gordon Hayward,nba.p.4724,Gordon,Hayward,SF,UTA,SAC,UTA@SAC,10:30PM EDT,35,35.3,GTD,Will Barton,9269,@SAC
4169,Home,Alec Burks,nba.p.4893,Alec,Burks,PG,UTA,SAC,UTA@SAC,10:30PM EDT,10,12.2,GTD,Jeremy Lin,10168,@SAC
9419,Home,Shelvin Mack,nba.p.4916,Shelvin,Mack,PG,UTA,SAC,UTA@SAC,10:30PM EDT,10,14.1,,Seth Curry,4873,@SAC
25858,Home,Rudy Gobert,nba.p.5197,Rudy,Gobert,C,UTA,SAC,UTA@SAC,10:30PM EDT,32,35.8,,Aaron Gordon,24308,@SAC
4518,Home,Jeff Withey,nba.p.5209,Jeff,Withey,C,UTA,SAC,UTA@SAC,10:30PM EDT,10,7.1,,Ersan Ilyasova,128,@SAC
,Home,Raul Neto,nba.p.5217,Raul,Neto,PG,UTA,SAC,UTA@SAC,10:30PM EDT,10,5.7,,Jordan Crawford,4441,@SAC
28245,Home,Dante Exum,nba.p.5316,Dante,Exum,PG,UTA,SAC,UTA@SAC,10:30PM EDT,10,11.1,,Robert Covington,11707,@SAC
24165,Home,Rodney Hood,nba.p.5334,Rodney,Hood,SG,UTA,SAC,UTA@SAC,10:30PM EDT,10,21,,,,@SAC
1683,Home,Joe Ingles,nba.p.5393,Joe,Ingles,SG,UTA,SAC,UTA@SAC,10:30PM EDT,11,16.5,,Elfrid Payton,31736,@SAC
28238,Home,Trey Lyles,nba.p.5472,Trey,Lyles,PF,UTA,SAC,UTA@SAC,10:30PM EDT,10,13,,Jonas Valanciunas,24239,@SAC
45041,Home,Joel Bolomboy,nba.p.5683,Joel,Bolomboy,PF,UTA,SAC,UTA@SAC,10:30PM EDT,10,3.7,,Greg Monroe,2178,@SAC
71,Away,Rudy Gay,nba.p.4136,Rudy,Gay,SF,SAC,UTA,UTA@SAC,10:30PM EDT,10,33.4,INJ,Pau Gasol,515,@UTA
54,Away,Arron Afflalo,nba.p.4305,Arron,Afflalo,SF,SAC,UTA,UTA@SAC,10:30PM EDT,10,13.4,GTD,Trevor Ariza,398,@UTA
328,Away,Anthony Tolliver,nba.p.4371,Anthony,Tolliver,PF,SAC,UTA,UTA@SAC,10:30PM EDT,10,14.6,,Allen Crabbe,9300,@UTA
778,Away,Kosta Koufos,nba.p.4485,Kosta,Koufos,C,SAC,UTA,UTA@SAC,10:30PM EDT,10,15.9,,Justise Winslow,30323,@UTA
1601,Away,Tyreke Evans,nba.p.4564,Tyreke,Evans,SG,SAC,UTA,UTA@SAC,10:30PM EDT,18,20.7,,Jamal Crawford,162,@UTA
1612,Away,Ty Lawson,nba.p.4623,Ty,Lawson,PG,SAC,UTA,UTA@SAC,10:30PM EDT,10,20,,Thaddeus Young,41,@UTA
1637,Away,Darren Collison,nba.p.4626,Darren,Collison,PG,SAC,UTA,UTA@SAC,10:30PM EDT,17,24.2,,James Johnson,1604,@UTA
1757,Away,Garrett Temple,nba.p.4682,Garrett,Temple,SF,SAC,UTA,UTA@SAC,10:30PM EDT,10,17.6,,Steven Adams,27993,@UTA
24188,Away,Ben McLemore,nba.p.5158,Ben,McLemore,SG,SAC,UTA,UTA@SAC,10:30PM EDT,10,11,,Kyle Korver,478,@UTA
22568,Away,Langston Galloway,nba.p.5388,Langston,Galloway,SG,SAC,UTA,UTA@SAC,10:30PM EDT,10,13.8,,Kent Bazemore,18858,@UTA
24287,Away,Willie Cauley-Stein,nba.p.5466,Willie,Cauley-Stein,PF,SAC,UTA,UTA@SAC,10:30PM EDT,20,15.1,,Emmanuel Mudiay,24680,@UTA
42415,Away,Buddy Hield,nba.p.5637,Buddy,Hield,SG,SAC,UTA,UTA@SAC,10:30PM EDT,13,16.7,,Terrence Ross,9339,@UTA
,Away,Georgios Papagiannis,nba.p.5644,Georgios,Papagiannis,C,SAC,UTA,UTA@SAC,10:30PM EDT,10,10.1,,Terrence Jones,7109,@UTA
49322,Away,Malachi Richardson,nba.p.5653,Malachi,Richardson,SG,SAC,UTA,UTA@SAC,10:30PM EDT,10,6,INJ,Dario Saric,24342,@UTA
42074,Away,Skal Labissiere,nba.p.5659,Skal,Labissiere,PF,SAC,UTA,UTA@SAC,10:30PM EDT,11,14.4,,Marvin Williams,59,@UTA
,Home,Chris Bosh,nba.p.3707,Chris,Bosh,PF,MIA,NY,MIA@NY,7:30PM EDT,10,33.5,INJ,Nikola Mirotic,9276,@NY
682,Home,Udonis Haslem,nba.p.3765,Udonis,Haslem,PF,MIA,NY,MIA@NY,7:30PM EDT,10,5.4,,Ricky Rubio,1599,@NY
6,Home,Josh McRoberts,nba.p.4314,Josh,McRoberts,PF,MIA,NY,MIA@NY,7:30PM EDT,10,12.9,INJ,Frank Kaminsky,28751,@NY
812,Home,Goran Dragic,nba.p.4507,Goran,Dragic,PG,MIA,NY,MIA@NY,7:30PM EDT,35,34.2,,Austin Rivers,9291,@NY
1604,Home,James Johnson,nba.p.4621,James,Johnson,PF,MIA,NY,MIA@NY,7:30PM EDT,24,26,,Maurice Harkless,24180,@NY
1620,Home,Wayne Ellington,nba.p.4633,Wayne,Ellington,SG,MIA,NY,MIA@NY,7:30PM EDT,10,17.4,,Josh Richardson,28787,@NY
2185,Home,Luke Babbitt,nba.p.4731,Luke,Babbitt,PF,MIA,NY,MIA@NY,7:30PM EDT,10,9.2,,Ryan Anderson,776,@NY
7693,Home,Hassan Whiteside,nba.p.4764,Hassan,Whiteside,C,MIA,NY,MIA@NY,7:30PM EDT,37,38.7,,Deron Williams,60,@NY
9280,Home,Dion Waiters,nba.p.5010,Dion,Waiters,SF,MIA,NY,MIA@NY,7:30PM EDT,26,27.7,INJ,Jerryd Bayless,765,@NY
10776,Home,Willie Reed,nba.p.5146,Willie,Reed,C,MIA,NY,MIA@NY,7:30PM EDT,10,12.9,,Marcin Gortat,145,@NY
4210,Home,Rodney McGruder,nba.p.5270,Rodney,McGruder,SG,MIA,NY,MIA@NY,7:30PM EDT,10,14,,Kenneth Faried,2303,@NY
23365,Home,Tyler Johnson,nba.p.5376,Tyler,Johnson,PG,MIA,NY,MIA@NY,7:30PM EDT,19,26.9,,Trevor Booker,3685,@NY
30323,Home,Justise Winslow,nba.p.5470,Justise,Winslow,SF,MIA,NY,MIA@NY,7:30PM EDT,10,24.6,INJ,Ty Lawson,1612,@NY
28787,Home,Josh Richardson,nba.p.5500,Josh,Richardson,SG,MIA,NY,MIA@NY,7:30PM EDT,12,19.7,,Taj Gibson,1622,@NY
9344,Home,Okaro White,nba.p.5697,Okaro,White,PF,MIA,NY,MIA@NY,7:30PM EDT,10,8.1,,Mason Plumlee,2214,@NY
